TotalYieldStrength,TotalHardness,Temperature_K_,MolePercentNi,MolePercentFe,MolePercentCr,MolePercentAl,MolePercentTi
259.2291,777.6874,293,15,40,15,15,15
262.6867,788.0602,293,16,39,15,15,15
272.5078,817.5235,293,17,38,15,15,15
282.6142,847.8426,293,18,37,15,15,15
293.0446,879.1338,293,19,36,15,15,15
303.8356,911.5067,293,20,35,15,15,15
314.9774,944.9323,293,21,34,15,15,15
326.3826,979.1479,293,22,33,15,15,15
338.4568,1015.3704,293,23,32,15,15,15
351.919,1055.7569,293,24,31,15,15,15
366.3461,1099.0383,293,25,30,15,15,15
257.4,772.2,293,15,39,15,15,16
257.1808,771.5425,293,16,38,15,15,16
264.9861,794.9583,293,17,37,15,15,16
274.9129,824.7388,293,18,36,15,15,16
285.1435,855.4306,293,19,35,15,15,16
295.7192,887.1576,293,20,34,15,15,16
306.6622,919.9867,293,21,33,15,15,16
317.8976,953.6928,293,22,32,15,15,16
329.4385,988.3155,293,23,31,15,15,16
342.2613,1026.784,293,24,30,15,15,16
356.4173,1069.2518,293,25,29,15,15,16
255.5805,766.7414,293,15,38,15,15,17
255.3567,766.0701,293,16,37,15,15,17
257.5699,772.7098,293,17,36,15,15,17
267.3275,801.9825,293,18,35,15,15,17
277.3688,832.1063,293,19,34,15,15,17
287.7348,863.2043,293,20,33,15,15,17
298.4645,895.3934,293,21,32,15,15,17
309.5388,928.6165,293,22,31,15,15,17
320.8171,962.4512,293,23,30,15,15,17
332.8107,998.4322,293,24,29,15,15,17
346.5761,1039.7284,293,25,28,15,15,17
253.7705,761.3115,293,15,37,15,15,18
253.5422,760.6265,293,16,36,15,15,18
253.3125,759.9376,293,17,35,15,15,18
259.8521,779.5564,293,18,34,15,15,18
269.715,809.145,293,19,33,15,15,18
279.8809,839.6428,293,20,32,15,15,18
290.3941,871.1823,293,21,31,15,15,18
301.2772,903.8315,293,22,30,15,15,18
312.4264,937.2792,293,23,29,15,15,18
323.8121,971.4363,293,24,28,15,15,18
336.8067,1010.4202,293,25,27,15,15,18
251.97,755.9099,293,15,36,15,15,19
251.7371,755.2114,293,16,35,15,15,19
251.503,754.5089,293,17,34,15,15,19
